type;lat;lon;tags;geometry;poi_type;;
none;10.374671;-84.346351;CTP Nataniel Arias Murillo;POINT (-84.346351 10.374671);College;;
none;10.376557;-84.340657;Escuela Mario Salazar Mora;POINT (-84.340657 10.376557);School;;
none;10.377829;-84.338731;Universidad San José;POINT (-84.338731 10.377829);University;;
none;10.378066;-84.338871;Instituto de Formación Integral Montecarlo;POINT (-84.338871 10.378066);College;;
none;10.375843;-84.345341;Centro Infantil de Atención Integral Angelitos;POINT (-84.345341 10.375843);Kindergarten;;
none;10.375707;-84.346415;DSC SA Robótica Educativa;POINT (-84.346415 10.375707);School;;
none;10.356044;-84.346942;Escuela Monte Cristo;POINT (-84.346942 10.356044);School;;
none;10.360876;-84.334599;Escuela Garabito;POINT (-84.334599 10.360876);School;;
none;10.376941;-84.326259;Escuela de Viento Fresco;POINT (-84.326259 10.376941);School;;
none;10.382721;-84.318627;Escuela Aristides Romain;POINT (-84.318627 10.382721);School;;
none;10.399944;-84.337004;Escuela Los Chiles;POINT (-84.337004 10.399944);School;;
none;10.400706;-84.308035;Escuela Pitalito Sur;POINT (-84.308035 10.400706);School;;
none;10.406971;-84.312738;Escuela de Esquipulas;POINT (-84.312738 10.406971);School;;
none;10.424855;-84.319578;Escuela José Rodriguez Martínez;POINT (-84.319578 10.424855);School;;
none;10.435292;-84.341357;Escuela San José;POINT (-84.341357 10.435292);School;;
none;10.444124;-84.358082;Escuela Cerro Cortés;POINT (-84.358082 10.444124);School;;
none;10.461749;-84.344626;Escuela Los Llanos;POINT (-84.344626 10.461749);School;;
none;10.460324;-84.344591;Liceo Gastón Peralta Carranza;POINT (-84.344591 10.460324);College;;
none;10.471428;-84.331947;Escuela Santa Fe;POINT (-84.331947 10.471428);School;;
none;10.534901;-84.333418;Escuela La Gloria;POINT (-84.333418 10.534901);School;;
none;10.564139;-84.346877;Liceo Rural Coopesanjuan;POINT (-84.346877 10.564139);College;;
none;10.555416;-84.365793;Escuela Vasconia;POINT (-84.365793 10.555416);School;;
none;10.500425;-84.381823;Escuela Caño Negro;POINT (-84.381823 10.500425);School;;
none;10.502842;-84.374059;Escuela Altamira;POINT (-84.374059 10.502842);School;;
none;10.474495;-84.371096;Escuela Vuelta de Kopper;POINT (-84.371096 10.474495);School;;
